soldierId,bestSoldierPerc
16671.0,2.0
107413.0,2.0
5018.0,1.0
81896.0,4.0
96334.0,2.0
105752.0,3.0
112023.0,3.0
26382.0,4.0
14924.0,1.0
44988.0,3.0
9356.0,3.0
19115.0,1.0
74393.0,4.0
76468.0,2.0
113325.0,3.0
110683.0,2.0
90391.0,1.0
38627.0,4.0
107232.0,2.0
3848.0,3.0
38676.0,2.0
89595.0,4.0
114472.0,1.0
24841.0,1.0
47410.0,1.0
21276.0,2.0
9170.0,3.0
91063.0,3.0
7289.0,3.0
91346.0,1.0
100111.0,4.0
97223.0,1.0
85530.0,4.0
38363.0,2.0
75402.0,3.0
92638.0,1.0
20665.0,1.0
71355.0,2.0
109097.0,1.0
70507.0,3.0
93234.0,2.0
26155.0,4.0
46423.0,1.0
104235.0,3.0
34082.0,1.0
1539.0,1.0
109871.0,1.0
25611.0,1.0
101808.0,2.0
11386.0,3.0
13866.0,1.0
114319.0,3.0
136462.0,4.0
95951.0,4.0
90070.0,2.0
30500.0,1.0
17496.0,2.0
108635.0,3.0
109478.0,2.0
138702.0,3.0
113484.0,4.0
97681.0,3.0
80477.0,3.0
34194.0,1.0
14376.0,2.0
81483.0,4.0
137465.0,3.0
9089.0,3.0
113437.0,4.0
31336.0,1.0
70433.0,2.0
25754.0,1.0
105369.0,3.0
6751.0,3.0
95618.0,3.0
70621.0,3.0
77041.0,1.0
83069.0,4.0
3864.0,3.0
7887.0,4.0
35992.0,1.0
90802.0,3.0
11454.0,1.0
102944.0,1.0
31754.0,1.0
17123.0,4.0
24956.0,2.0
78030.0,1.0
106554.0,2.0
107025.0,1.0
31757.0,2.0
15480.0,2.0
70070.0,1.0
36414.0,4.0
21227.0,1.0
79775.0,1.0
86010.0,2.0
92322.0,2.0
37033.0,3.0
32801.0,1.0
41828.0,2.0
5343.0,3.0
68926.0,1.0
3346.0,3.0
19710.0,2.0
40305.0,4.0
25275.0,1.0
8213.0,4.0
47232.0,4.0
36340.0,4.0
90924.0,1.0
81894.0,2.0
