soldierId,bestSoldierPerc
16671.0,3
107413.0,1
5018.0,1
81896.0,3
96334.0,1
105752.0,4
112023.0,3
26382.0,4
14924.0,4
44988.0,3
9356.0,4
19115.0,1
74393.0,4
76468.0,4
113325.0,1
110683.0,4
90391.0,4
38627.0,3
107232.0,3
3848.0,4
38676.0,1
89595.0,2
114472.0,3
24841.0,1
47410.0,3
21276.0,3
9170.0,2
91063.0,4
7289.0,3
91346.0,2
100111.0,3
97223.0,1
85530.0,4
38363.0,1
75402.0,4
92638.0,2
20665.0,3
71355.0,1
109097.0,1
70507.0,4
93234.0,4
26155.0,3
46423.0,1
104235.0,3
34082.0,1
1539.0,1
109871.0,1
25611.0,2
101808.0,4
11386.0,1
13866.0,1
114319.0,1
136462.0,4
95951.0,4
90070.0,3
30500.0,3
17496.0,1
108635.0,2
109478.0,2
138702.0,3
113484.0,4
97681.0,4
80477.0,1
34194.0,1
14376.0,3
81483.0,4
137465.0,3
9089.0,1
113437.0,3
31336.0,2
70433.0,3
25754.0,1
105369.0,3
6751.0,3
95618.0,1
70621.0,1
77041.0,1
83069.0,4
3864.0,3
7887.0,1
35992.0,2
90802.0,1
11454.0,3
102944.0,1
31754.0,1
17123.0,3
24956.0,1
78030.0,2
106554.0,1
107025.0,3
31757.0,1
15480.0,2
70070.0,1
36414.0,4
21227.0,3
79775.0,1
86010.0,3
92322.0,1
37033.0,3
32801.0,4
41828.0,2
5343.0,3
68926.0,2
3346.0,1
19710.0,3
40305.0,4
25275.0,3
8213.0,4
47232.0,4
36340.0,4
90924.0,1
81894.0,3
140040.0,4
114471.0,1
99888.0,2
19845.0,1
68359.0,4
18632.0,1
89432.0,3
111130.0,4
21185.0,1
94431.0,1
3273.0,4
19510.0,1
91516.0,1
99389.0,1
43188.0,3
36762.0,4
105171.0,3
8258.0,4
109152.0,4
83794.0,4
42238.0,3
47236.0,2
25431.0,1
101927.0,3
80662.0,2
85810.0,4
109930.0,4
16539.0,2
10852.0,3
39925.0,1
99412.0,1
112148.0,3
101731.0,1
25317.0,4
19245.0,3
99537.0,4
74832.0,4
11926.0,1
73616.0,3
68420.0,1
18818.0,3
85744.0,2
105133.0,4
109835.0,4
111839.0,1
102597.0,1
11597.0,4
21904.0,3
25853.0,2
84340.0,4
113718.0,1
1364.0,2
102506.0,2
98717.0,3
19379.0,1
91735.0,4
81339.0,1
9232.0,2
114458.0,4
23339.0,1
85091.0,2
14091.0,2
97389.0,2
99602.0,4
35379.0,4
45066.0,1
111349.0,2
138933.0,1
5932.0,2
45914.0,4
2563.0,1
100334.0,3
110324.0,2
35978.0,4
23153.0,1
82759.0,4
77528.0,1
6625.0,3
72076.0,4
138158.0,2
980.0,2
95294.0,4
97872.0,4
7747.0,4
72904.0,4
46026.0,1
1314.0,2
112690.0,1
12980.0,1
45420.0,1
102996.0,3
82095.0,4
105993.0,1
5344.0,3
17784.0,2
7498.0,1
18781.0,4
47226.0,4
102380.0,1
40467.0,1
75128.0,2
71968.0,2
71129.0,1
92970.0,1
27528.0,4
68448.0,1
15523.0,2
95448.0,4
71321.0,3
76676.0,2
11682.0,2
85790.0,4
21503.0,4
91300.0,3
71474.0,1
106279.0,1
84562.0,1
34459.0,1
28766.0,1
32918.0,3
105760.0,3
73188.0,3
110711.0,3
30682.0,3
46980.0,4
106139.0,3
94236.0,1
37761.0,2
29940.0,3
77431.0,2
98975.0,4
32162.0,1
88254.0,3
113970.0,3
9602.0,4
36167.0,2
37420.0,4
42396.0,1
100667.0,4
69591.0,1
12224.0,4
26811.0,1
77024.0,2
34847.0,4
87581.0,3
39651.0,2
81239.0,2
71096.0,3
36793.0,4
44464.0,1
40903.0,1
100190.0,4
111846.0,3
26071.0,1
111692.0,1
8153.0,1
33904.0,2
27870.0,4
137830.0,3
111139.0,2
10762.0,3
18932.0,4
76362.0,4
30357.0,4
99621.0,2
71209.0,3
3990.0,1
22484.0,4
101480.0,2
79092.0,4
42275.0,4
41910.0,4
74998.0,3
40850.0,3
9319.0,1
136950.0,4
88598.0,4
17233.0,3
27292.0,4
101938.0,4
70297.0,3
110753.0,4
29304.0,4
93506.0,2
82716.0,2
97167.0,4
9557.0,1
38522.0,4
45984.0,3
20320.0,3
104499.0,3
100169.0,2
41469.0,1
17305.0,2
22569.0,1
26076.0,4
46823.0,1
100821.0,4
112871.0,3
114411.0,4
102064.0,3
85226.0,1
41797.0,3
28539.0,4
42498.0,3
28311.0,1
410.0,3
113649.0,3
32485.0,1
35588.0,2
5332.0,1
27151.0,4
35492.0,1
137272.0,2
114799.0,2
136526.0,3
30694.0,3
17246.0,2
95766.0,1
85572.0,1
26977.0,2
104174.0,2
106837.0,1
95802.0,4
45795.0,4
103850.0,4
111683.0,1
37532.0,2
77072.0,2
100063.0,4
82136.0,4
74814.0,2
69191.0,4
72630.0,2
72075.0,2
42586.0,2
70994.0,1
91347.0,3
71379.0,1
23108.0,1
107360.0,3
69272.0,3
94992.0,2
42576.0,2
37266.0,4
24105.0,4
112093.0,4
73253.0,1
5685.0,1
26466.0,1
90480.0,2
33810.0,4
3487.0,1
101058.0,2
90749.0,1
43251.0,1
47535.0,3
77707.0,4
81222.0,1
15445.0,4
18174.0,4
26163.0,4
39745.0,4
38374.0,1
2059.0,4
93683.0,4
71069.0,2
5443.0,4
105890.0,3
92676.0,2
140198.0,4
7090.0,2
75247.0,4
82055.0,1
45288.0,3
84699.0,2
87569.0,3
92650.0,4
107688.0,3
11046.0,1
7103.0,4
32380.0,4
100300.0,3
32326.0,2
27002.0,4
94909.0,3
99466.0,2
39579.0,4
96889.0,4
112759.0,1
2199.0,2
95347.0,2
46596.0,1
86847.0,1
31046.0,1
139121.0,1
46158.0,2
79711.0,1
77255.0,3
14909.0,2
73416.0,3
99311.0,3
8167.0,4
92772.0,1
73956.0,1
26758.0,3
100263.0,1
83208.0,4
7839.0,1
91139.0,1
79752.0,2
5508.0,3
31280.0,3
103185.0,2
109162.0,3
34872.0,1
10969.0,3
42438.0,4
92740.0,3
25143.0,2
97457.0,4
98479.0,2
43214.0,2
103125.0,4
87954.0,2
47470.0,2
14950.0,1
140039.0,2
113481.0,1
92122.0,1
110322.0,3
2755.0,2
77125.0,4
71020.0,1
87041.0,4
112000.0,1
140202.0,2
74976.0,1
113526.0,2
5967.0,3
140037.0,1
47238.0,2
6087.0,1
19183.0,4
77523.0,2
87034.0,2
82249.0,2
110373.0,2
12743.0,3
45607.0,4
99169.0,2
3914.0,2
85366.0,1
47027.0,4
2737.0,4
115838.0,2
97531.0,2
72070.0,1
86375.0,4
73539.0,4
46025.0,4
109902.0,4
33040.0,3
102630.0,2
83353.0,2
115215.0,2
15333.0,4
8558.0,4
14340.0,2
20263.0,1
137041.0,4
3050.0,4
138210.0,4
72482.0,3
80579.0,1
17664.0,1
13466.0,1
34254.0,3
11102.0,2
85937.0,1
6549.0,3
102707.0,3
25907.0,3
7331.0,1
7935.0,4
13963.0,1
35767.0,2
6002.0,4
139113.0,1
37964.0,4
110678.0,4
29060.0,1
137811.0,4
69791.0,3
40361.0,4
78549.0,2
31829.0,1
39627.0,2
23891.0,1
111856.0,2
90740.0,1
44145.0,1
73361.0,4
75088.0,4
111274.0,4
37428.0,4
71871.0,1
96870.0,3
34918.0,4
29056.0,1
109576.0,3
103049.0,4
98625.0,4
23294.0,4
98766.0,4
39125.0,1
88066.0,1
44433.0,2
44631.0,4
21346.0,3
87304.0,1
14402.0,1
110377.0,4
106199.0,4
894.0,3
79159.0,2
97686.0,1
107695.0,4
109443.0,4
14569.0,3
83996.0,1
105401.0,3
13601.0,2
19513.0,4
32261.0,4
14053.0,4
317.0,1
73440.0,3
113356.0,4
7030.0,1
10737.0,1
43533.0,4
44599.0,2
46543.0,1
30651.0,2
80627.0,2
4445.0,3
12191.0,3
92088.0,1
22413.0,1
41978.0,3
82783.0,2
98483.0,4
30251.0,3
39429.0,4
39713.0,4
29349.0,1
96499.0,1
78213.0,3
98343.0,3
110824.0,4
26133.0,1
74552.0,4
87990.0,4
99344.0,1
99475.0,4
187.0,1
44981.0,2
94488.0,1
111119.0,4
91593.0,4
7879.0,2
27589.0,4
87252.0,4
76079.0,4
17444.0,3
106709.0,4
43854.0,3
94948.0,3
43894.0,4
11920.0,1
115355.0,3
17032.0,4
99838.0,3
97308.0,3
10828.0,1
93774.0,3
39063.0,4
96103.0,3
16025.0,1
7601.0,3
99907.0,3
91080.0,2
85194.0,2
75553.0,4
72008.0,2
32476.0,4
32201.0,1
70499.0,2
140739.0,2
21534.0,2
3920.0,4
74805.0,1
100637.0,2
29.0,2
73481.0,3
22799.0,4
76262.0,1
14138.0,2
103003.0,4
45746.0,1
109042.0,2
89956.0,3
70168.0,2
16682.0,4
23400.0,1
88364.0,1
88897.0,2
90347.0,4
7246.0,1
113554.0,2
8222.0,1
16026.0,2
100857.0,1
100105.0,1
8412.0,4
27233.0,2
137620.0,3
29416.0,1
18123.0,1
109173.0,4
98351.0,1
72368.0,3
93250.0,2
18495.0,4
9373.0,2
9453.0,4
77963.0,1
109369.0,2
42108.0,1
100505.0,1
92959.0,3
68702.0,2
6052.0,4
6123.0,1
1222.0,1
34340.0,1
10538.0,3
75607.0,3
70730.0,2
36683.0,4
16849.0,1
26014.0,4
15862.0,2
9807.0,2
783.0,1
6086.0,1
43688.0,4
73648.0,3
100593.0,1
100729.0,2
101977.0,1
20849.0,1
46750.0,3
11805.0,3
35364.0,3
97063.0,1
93529.0,1
70770.0,4
74464.0,1
78743.0,2
92004.0,4
138178.0,2
18102.0,4
96223.0,3
92259.0,3
8770.0,4
100529.0,4
99527.0,3
74298.0,1
93412.0,3
76985.0,3
25454.0,4
38662.0,1
17820.0,2
72961.0,3
11625.0,4
115347.0,4
25635.0,2
1657.0,4
111082.0,3
29286.0,2
12761.0,1
96104.0,4
21568.0,3
31658.0,4
9654.0,1
80122.0,1
88663.0,1
30535.0,1
92409.0,4
3838.0,4
109279.0,1
33734.0,4
94716.0,4
20988.0,2
68645.0,4
4482.0,2
94374.0,3
103059.0,1
96594.0,3
7666.0,4
115466.0,4
20652.0,2
77542.0,2
13687.0,4
108151.0,3
25467.0,1
15058.0,3
21955.0,4
1061.0,2
27015.0,1
32313.0,2
28327.0,3
38449.0,3
11503.0,4
89575.0,1
111816.0,3
97236.0,3
83410.0,4
39929.0,4
14181.0,2
139035.0,1
28916.0,2
41583.0,4
3550.0,4
112859.0,3
42900.0,4
91305.0,3
74629.0,2
108181.0,2
40747.0,2
8120.0,4
89237.0,1
19121.0,2
15100.0,1
34672.0,2
98154.0,4
71315.0,3
45911.0,4
33851.0,2
84632.0,1
7175.0,3
90696.0,4
95156.0,1
99494.0,3
24574.0,1
105418.0,3
109290.0,1
84972.0,3
79373.0,4
39683.0,3
106162.0,3
11192.0,1
26464.0,4
112681.0,3
35756.0,2
105067.0,2
29350.0,3
70847.0,4
75076.0,2
34933.0,2
25438.0,4
74024.0,4
109918.0,1
96363.0,4
103934.0,1
106597.0,3
35256.0,2
99006.0,4
19817.0,3
32462.0,4
97033.0,2
9486.0,1
94762.0,2
31865.0,3
95088.0,2
34032.0,3
94432.0,4
12386.0,1
97158.0,4
109732.0,2
81188.0,1
42759.0,1
91096.0,4
45072.0,2
3818.0,2
29799.0,1
91427.0,1
35754.0,1
137336.0,4
106779.0,2
5480.0,2
13110.0,4
101007.0,1
85301.0,4
109433.0,1
